X1,X2,X3,X4,X5,X6,G,S,Y
0.923298333,6.291100683,4.971358391,5.686363705,1.142228656,0.276137818,1,5.940506222,20.22622832
0.773017503,6.590360402,1.716361719,3.236231565,1.785307497,0.103942065,0,2.759726706,9.820111414
1.6569673,4.611685786,3.68370821,5.013335548,0.455372797,0.864652451,1,3.193463733,14.80404855
0.169149451,6.215147401,2.966535412,2.177325568,0.752655301,0.383693942,0,3.349143937,10.5827929
1.405647852,6.43020953,2.615342251,6.052837577,1.939811849,0.77807732,1,5.899277808,21.27116257
1.451312205,5.151351539,4.108125177,2.599876476,1.502420291,0.022062567,0,3.412702652,12.22996772
2.437207853,3.371249238,2.222722741,4.434157264,1.02565788,0.746030778,0,3.246976881,9.66686694
1.110961611,6.180928061,3.644371113,3.501963497,1.747729542,0.104674224,1,4.131580668,18.10960769
1.639675785,2.051030899,4.023286641,2.636799625,1.149853175,0.197653162,0,2.815183472,8.393521767
0.510786153,9.529628901,0.504175347,6.691869039,1.720769292,1.76138521,0,4.017237774,15.55251467
1.874989431,3.155260546,0.250627578,1.493055799,0.767063177,0.484478979,1,4.127476455,15.10626956
2.646496554,4.517419025,1.992608067,3.292183291,1.143996312,2.174627602,1,3.815898368,18.74975239
0.84106152,2.719691213,2.892720007,2.791087053,0.579766634,2.628203044,1,6.576168102,19.11357543
1.195463705,1.332618394,4.673551334,3.008492961,0.933646991,0.30441785,0,2.796232113,7.733732549
2.287653247,1.299739523,3.197116841,3.449280162,1.154247157,2.216158742,1,1.393075268,11.28410098
2.007065137,5.330315641,2.5992209,0.859122984,0.094267213,0.348062491,1,3.49807691,14.10549179
0.613836486,6.760438865,0.784820735,2.067948618,0.37212846,0.342117025,1,4.808957842,16.01864627
1.07257456,1.365257655,4.62760189,3.897392497,1.30038968,1.145831299,0,3.44830235,11.20193801
1.078425345,7.834779517,3.91392212,3.305645071,1.636205226,0.045861827,0,3.839046267,13.89716408
2.070871585,15.27714374,3.356748954,0.718471829,0.146763945,0.094784641,1,7.012555316,28.34546912
1.607433462,6.374044253,3.386968249,1.984074424,1.486937846,0.326653339,0,3.993615046,13.49480048
1.615046095,2.673018274,2.122792985,1.892386256,0.184854945,1.72966903,0,2.514180447,7.344901428
2.246916681,5.129602118,1.990351229,1.151718484,0.670209691,0.722261352,0,2.380470796,10.34963168
1.260304352,5.678731974,4.816115831,3.20980149,1.304946915,0.342312604,1,5.406032848,20.65221349
0.514260638,4.870520854,3.097866531,1.786701987,0.502180337,1.028389111,0,2.915488247,11.24315737
2.310904829,3.878571433,3.47661049,2.589206976,1.973555707,0.4766547,0,3.654912714,10.34963834
2.645860763,2.213841308,1.706468352,2.530530098,1.934868773,1.909281963,1,1.688753455,14.50092287
1.647290131,2.793498358,2.882075828,6.439557769,0.959646737,0.308776618,1,5.529613679,17.78559543
